id,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9
0,0,0,0,0,0,0,0,0,0.17838421,0.81525904
1,0.01667941,0.016678693,0.016680315,0.84988576,0.016679782,0.016678436,0.016680304,0.01667877,0.01667922,0.016679302
2,0,0,0,0.3649752,0,0,0.630102,0,0,0
3,0.011124153,0.011123439,0.011125705,0.011123979,0.011124425,0.011123866,0.011124565,0.899882,0.011124018,0.011123857
4,0.99490416,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0.7945614,0,0,0,0,0.1992741
6,0,0.07980315,0,0,0.8528571,0,0,0,0,0.06358068
7,0.016688898,0.016689632,0.016689101,0.016688129,0.84980196,0.01668823,0.016688867,0.016688466,0.016688064,0.016688664
8,0,0,0,0,0,0,0,0,0.9859284,0
9,0,0,0,0.56174654,0,0,0.4322682,0,0,0
10,0,0,0,0,0,0,0,0,0.94371355,0
11,0,0,0,0,0.67640895,0,0,0,0,0.31999278
12,0,0,0,0,0.20487636,0,0,0,0,0.7903803
13,0,0,0,0.30455488,0,0.68918824,0,0,0,0
14,0.0646722,0,0,0,0.92902434,0,0,0,0,0
15,0,0,0,0,0,0,0.98713243,0,0,0
16,0.01430222,0.014299208,0.0143013345,0.014300644,0.014302789,0.014300288,0.014299865,0.014302777,0.8712887,0.014302115
17,0,0,0,0,0,0,0,0,0.9915777,0
18,0,0,0,0,0.020332644,0,0,0,0,0.97131616
19,0,0,0.98266697,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0.92493534
21,0.011132031,0.011131533,0.011131591,0.011131533,0.0111318445,0.011131561,0.011131544,0.011131546,0.011131616,0.8998152
22,0,0,0.27167928,0,0.42070544,0,0,0,0.30244237,0
23,0,0,0.996581,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0.9943341,0,0,0
25,0.020023188,0.02001861,0.020023393,0.020019557,0.020019677,0.020019213,0.020019138,0.81981754,0.020019555,0.02002014
26,0,0,0,0,0,0,0,0,0,0.939897
27,0,0.6700391,0,0,0,0,0,0,0.32529977,0
28,0,0,0,0,0.9624674,0,0,0,0,0
29,0,0,0,0.119631186,0,0,0,0,0,0.8721989
30,0,0,0,0,0.9946385,0,0,0,0,0
31,0.47574103,0,0,0,0,0,0,0.5190244,0,0
32,0.016684296,0.016682964,0.016684143,0.8498411,0.01668538,0.01668828,0.016683474,0.01668256,0.016683139,0.016684646
33,0,0,0.99581176,0,0,0,0,0,0,0
34,0.3190409,0,0,0,0,0,0,0,0.6751105,0
35,0.014297412,0.014295725,0.014296123,0.01429632,0.014297181,0.01429698,0.014297138,0.8713301,0.014295828,0.014297219
36,0.7749198,0.025005622,0.025011605,0.025008554,0.02501039,0.025009444,0.025010137,0.02500881,0.025007302,0.0250083
37,0,0,0,0,0,0,0,0,0.99317056,0
38,0.77454704,0.025050223,0.025051259,0.025049735,0.02505034,0.025055692,0.025049074,0.025047654,0.025049577,0.025049385
39,0.033348113,0.03335129,0.033351306,0.03334797,0.033347145,0.033350196,0.033347845,0.03334992,0.033345304,0.69986093
40,0.02005411,0.02005469,0.020054577,0.020054338,0.8195078,0.020054128,0.02005411,0.02005479,0.020054713,0.020056726
41,0,0,0,0,0,0,0,0,0.09122686,0.90081877
42,0,0,0,0,0.9924937,0,0,0,0,0
43,0.021966007,0,0,0,0.9357476,0,0,0,0,0.037736405
44,0,0,0,0,0,0,0,0.91811585,0,0
45,0,0,0,0,0.99289334,0,0,0,0,0
46,0,0,0,0,0.1548515,0,0,0.8407015,0,0
47,0.99322695,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0.6677415,0,0.3237269,0
49,0,0,0.9227521,0,0.07207516,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0.99195826,0
51,0.97681755,0,0,0,0,0,0,0,0.018944958,0
52,0.9094213,0,0,0.08401457,0,0,0,0,0,0
53,0.036771115,0,0.9557431,0,0,0,0,0,0,0
54,0,0,0.93563175,0,0,0,0,0,0,0
55,0.010010236,0.010009465,0.010011303,0.010011381,0.010010198,0.010012327,0.010009791,0.0100101195,0.010009981,0.9099052
56,0.010014222,0.010013847,0.010013969,0.010014008,0.010014062,0.0100140665,0.010014255,0.010014197,0.90987325,0.010014145
57,0.8865694,0,0.104998596,0,0,0,0,0,0,0
58,0,0,0,0.94992703,0,0,0,0,0,0
59,0.7122848,0,0,0,0.20854516,0,0,0,0,0.075118765
60,0,0,0,0,0,0,0,0,0.9874839,0
61,0,0,0,0,0,0.96083605,0,0,0,0
62,0.9180916,0,0,0,0,0,0,0,0,0
63,0,0,0.9896483,0,0,0,0,0,0,0
64,0.695934,0,0.11520918,0,0,0,0.18447651,0,0,0
65,0,0,0,0,0,0.91809195,0,0,0,0
66,0.033383466,0.033380885,0.6995602,0.03338174,0.033383027,0.03338249,0.03338229,0.03338191,0.033381283,0.03338274
